input,amplitude,rmse_CA,rmse_T
1,-0.5000,0.01407695,1.13826441
1,-0.2000,0.00694778,0.30288630
1,-0.1000,0.00544060,0.09313722
1,-0.0500,0.00496205,0.05050094
1,0.0500,0.00425125,0.06462153
1,0.1000,0.00411037,0.10879898
1,0.2000,0.00502331,0.30492156
1,0.5000,0.01413697,1.13570994
2,-5.0000,0.00752184,2.31713378
2,-2.0000,0.00253209,0.36675877
2,-1.0000,0.00383870,0.13207422
2,-0.5000,0.00428821,0.07435397
2,0.5000,0.00468718,0.06381085
2,1.0000,0.00464242,0.10693560
2,2.0000,0.00413070,0.27653904
2,5.0000,0.00413165,1.32410183
3,-10.0000,0.00723801,0.18279013
3,-5.0000,0.00532663,0.05945206
3,-2.0000,0.00476133,0.04929136
3,-1.0000,0.00464906,0.05068953
3,1.0000,0.00452684,0.05317088
3,2.0000,0.00451494,0.05360923
3,5.0000,0.00467306,0.05449961
3,10.0000,0.00559123,0.08614482
4,-10.0000,0.20552746,14.49863949
4,-5.0000,0.03320764,2.18716418
4,-2.0000,0.00761817,0.21047625
4,-1.0000,0.00541511,0.06330949
4,1.0000,0.00470962,0.05502051
4,2.0000,0.00578008,0.09472792
4,5.0000,0.01396238,0.44632692
4,10.0000,0.03936064,1.30008475
